FAIL | Depth 15 | insn_lb_ch0
FAIL | Depth 15 | insn_lbu_ch0
FAIL | Depth 15 | insn_lh_ch0
FAIL | Depth 15 | insn_lhu_ch0
FAIL | Depth 15 | insn_lw_ch0
FAIL | Depth 15 | insn_sb_ch0
FAIL | Depth 15 | insn_sh_ch0
FAIL | Depth 15 | insn_sw_ch0
FAIL | Depth 15 | liveness_ch0
FAIL | Depth 15 | pc_fwd_ch0
FAIL | Depth 15 | reg_ch0
PASS | Depth 15 | causal_ch0
PASS | Depth 15 | insn_add_ch0
PASS | Depth 15 | insn_addi_ch0
PASS | Depth 15 | insn_and_ch0
PASS | Depth 15 | insn_andi_ch0
PASS | Depth 15 | insn_auipc_ch0
PASS | Depth 15 | insn_beq_ch0
PASS | Depth 15 | insn_bge_ch0
PASS | Depth 15 | insn_bgeu_ch0
PASS | Depth 15 | insn_blt_ch0
PASS | Depth 15 | insn_bltu_ch0
PASS | Depth 15 | insn_bne_ch0
PASS | Depth 15 | insn_jal_ch0
PASS | Depth 15 | insn_jalr_ch0
PASS | Depth 15 | insn_lui_ch0
PASS | Depth 15 | insn_or_ch0
PASS | Depth 15 | insn_ori_ch0
PASS | Depth 15 | insn_sll_ch0
PASS | Depth 15 | insn_slli_ch0
PASS | Depth 15 | insn_slt_ch0
PASS | Depth 15 | insn_slti_ch0
PASS | Depth 15 | insn_sltiu_ch0
PASS | Depth 15 | insn_sltu_ch0
PASS | Depth 15 | insn_sra_ch0
PASS | Depth 15 | insn_srai_ch0
PASS | Depth 15 | insn_srl_ch0
PASS | Depth 15 | insn_srli_ch0
PASS | Depth 15 | insn_sub_ch0
PASS | Depth 15 | insn_xor_ch0
PASS | Depth 15 | insn_xori_ch0
PASS | Depth 15 | pc_bwd_ch0
PASS | Depth 15 | unique_ch0
